Medicine_ID,Counterfeit_Sales
HLZ81,2372.7334654515143
ECE94,4023.42027069183
SAD14,1514.013899593795
EQV63,476.5836072926261
AIR10,477.72385985442213
LIC37,604.5216334126333
EXZ14,3809.7814233992535
UCB79,3614.618817907465
IDJ12,5537.368164242915
KLQ71,1526.7751913294087
NZS82,2638.3097586569593
TZV99,4040.913190935096
FWK70,2539.1390644395906
LKL13,2677.404533536729
UFQ12,6026.68009927004
JPE14,2966.3179174810502
SGZ11,2391.647510956457
JSD91,2649.831672357575
KSO48,3223.243509663257
LNA17,940.6829079946203
XQB11,1901.488114334941
ZKO55,1755.0504917209398
DZC65,1082.6421608493326
CYS10,3260.34305563378
IOW64,2546.778798974082
JJQ10,3211.7469761129764
ZVR52,1892.8288425756814
DRH86,1001.2707351084726
HWM68,2641.2855361637635
OHY21,2587.101950643608
EVB28,1150.8306524008883
WGT10,2291.2663861053184
TXX50,2920.7939855678615
XHQ12,816.5673770587834
BUQ68,2757.764543415265
GPT11,2288.290608598514
DBA13,945.5463435513477
VLR10,1888.2165061588016
TXX50,2787.939907936805
PPB10,3760.8559385998683
IAS38,3325.8561403936224
FLZ93,2606.9784368444793
DEE35,2529.364551456023
DFS52,2965.933085932398
JCW15,615.9240187231421
CGG23,1184.9686371930259
OJV12,1989.5965137247292
MCQ36,3659.3047468802097
YJD12,2951.950536368272
EOK39,397.4595763840793
IYM95,3221.131119298158
JBY12,2978.31223521652
EVE11,3459.547873968356
IAS38,2947.4272681836287
LKG52,3211.9477203302113
LCH20,802.4482828506045
DQX15,301.2337283308083
CPF13,3019.1716707176097
MXD18,4183.6445285009295
UJL53,3585.4124200202227
NQG12,3782.2777813502958
RTM43,1374.845267162565
VOR91,1026.0237958245666
BKR48,1878.7683093740247
TYB54,4598.026583854123
JDT14,3221.131119298158
YST51,1026.0237958245666
YRD11,533.2927497849438
IKQ41,3323.0909116085436
KKJ43,1480.6935169907174
BFA10,3764.9068953541555
JIV77,525.6135288971004
OIT11,2951.950536368272
EVB28,988.247248155788
IZD14,909.0030973002723
DVR14,2014.1509752245804
HAY13,2700.273814414895
KEB73,1420.6469426543135
UHF16,2965.933085932398
KOE13,2737.10635208606
OCC17,2017.148578946779
XSM88,2776.9132301400196
XKD99,2961.0924007715485
DZO55,2033.2017297800078
EPQ18,1168.7739763949764
WGC12,4646.775991333541
GTU11,3660.9417430789954
DPL20,819.5431545655874
LCT65,816.5673770587834
KKK25,1750.1553355036315
OYJ39,2300.2051490743274
PRC68,1679.722029719121
BKA11,4028.813441739908
MCS10,3779.3020038434915
OMK35,2454.669862799665
INQ59,254.72876946838417
WAF13,3965.189928418217
QEG30,2162.010570738172
HNB36,2152.409658322131
JFM47,3288.5890046466566
DHX14,2164.9863482449764
TIG24,1507.2628731750915
WXI33,1110.3709990722305
QBL45,2269.603115884324
DPT13,1572.986792445572
YHP10,2550.165742236376
IHZ66,3212.2168318664717
LSZ55,1279.62683968057
SLH10,1132.0451990392962
DIX98,1966.2099152359579
XEX60,2501.926741998803
SFC11,392.67256347614256
QGV13,3700.412146770278
YJY59,4166.170533622476
LHQ13,1026.0237958245666
FWW89,1446.3751983350533
AAS12,2640.4683251294973
YHP10,2684.8655394912366
JZL95,4115.393536815635
DBJ11,4075.1584226454847
BNO11,4446.251285743088
MBQ12,3614.618817907465
NQE11,3703.2547589716232
BJQ15,810.3192165747171
JZK98,2970.2085370854024
MSY10,5853.015673807621
DDK20,2545.625231777872
QAU14,1647.274808279763
YMG27,202.3897044234572
PJB12,2283.8277036229542
MKO99,1509.397550178261
SYW15,609.0423832694629
TTJ13,1673.844164464137
KIT10,543.244361225279
PYY23,3718.5839701826253
QQR55,2942.1760233847044
QBT13,1753.1311130104355
KBR18,1782.6025569429896
IAP53,2546.778798974082
HPW53,3707.55729238584
UCX61,1270.2366716966403
IWE13,3211.7469761129764
OJE14,3250.743912131998
SFI23,2179.961723544181
MRG11,2689.1434658820426
GLQ11,1746.768392241337
JXC75,3212.2168318664717
FTY40,2743.1935081779134
GUM11,940.6829079946203
LZQ97,5279.738055887812
NGH10,2143.0255151369493
MKR14,3351.5061176843224
MWN81,3429.8973709599386
QKY68,988.247248155788
JEF58,1746.768392241337
IJC44,3943.4203578463266
ZJB56,2047.204185083597
OIY11,1989.5965137247292
DXX87,599.6369033768001
VPX10,3288.5890046466566
LHK43,1976.8254272772535
UQE10,4092.5586366442417
MAJ12,2084.140393490829
GWU14,4151.362674572144
DCB19,3960.5486875853016
FVD11,841.5521722524882
CPZ57,892.1177019746302
HWM68,1526.7751913294087
TGT13,2592.3580670374226
OTB75,533.2927497849438
VIQ13,3277.3633184340965
XXE14,2003.7544257264872
RNV12,851.2295381217695
DST32,2813.7930127386744
CWT37,3707.0755833514745
NCG56,3258.0699012845066
QJZ43,1509.4899725856542
RHR86,1647.274808279763
QRC11,1986.6207362179252
ATT10,543.244361225279
YYJ78,841.5521722524882
CQU27,465.9530410816449
ATT10,570.8136962702218
YTK96,2394.6232884632614
UNI81,1475.803158979216
IIG27,1135.0209765461002
MCS10,2546.778798974082
BTP27,1650.250585786567
OLY11,1878.7683093740247
TVT11,2088.429458163829
QFD24,4147.61581672607
UYQ40,807.3434390679131
KBP10,521.722909292748
AKD11,4088.491091465618
IUN21,4112.4652331253255
PDQ67,829.0176390349791
RDQ13,1465.2088708933204
VLR87,3222.368798522384
HZC96,3603.59214011068
QXV86,2546.778798974082
TGT13,2605.1291534848983
XJA26,2694.8931701352863
EWT46,4380.452543474185
QRC11,1794.0317350155253
RDJ83,1285.6972007583247
URG12,495.65879561867393
BTP27,1655.1457420038753
ORN12,3809.7814233992535
RFR49,3624.1694628530704
ZEE32,4155.394214767819
OKA72,479.055708457372
FSJ13,2559.5498854215575
IYX45,892.1177019746302
DSY84,1966.2099152359579
CSM50,1973.8496497704496
WOX94,3317.998708995763
UYH58,2709.8740803000433
OLD10,4999.643437609142
IAP71,3258.0699012845066
ATT10,2787.939907936805
JHP96,179.40760893824518
RUT58,1758.0262692277438
UTN77,1524.9746186830512
CTM81,518.3359660304536
YAA14,1792.2875480257112
JJZ12,2235.876166500916
BKA11,4060.89126171896
LWT80,1898.1011710726466
GKI48,1560.318833038082
UAV72,1623.2570792897106
OIF72,2370.6129141228766
JYY11,5192.847605660381
LLH93,3903.1327065674172
AZB11,4183.6445285009295
JEM14,2592.7692327929126
AHD74,2696.3831948105426
UYA56,5316.837601858335
XRJ35,726.5617885563855
RAH15,2995.7850722288385
TRZ29,4102.73070310143
HMI21,1509.4899725856542
NEH32,1026.0237958245666
XEI37,3613.142785056285
BEY15,2888.8053052501896
JJD44,1572.986792445572
NUW49,2550.165742236376
IKU77,1024.1044171140622
WDW84,2546.778798974082
XBN75,3614.618817907465
BTP27,1641.6793480707602
KSO48,3232.6276528484386
SAC31,2962.9772141650574
KTH72,663.9735525195334
VZK61,3668.0151328779893
QAU14,1652.1699644970713
XVT88,4114.668734003817
KRS13,4098.00525734609
FDZ11,3171.2949475918344
DHT27,4070.4418880245516
GRD25,2542.114841946395
UQJ12,1523.7994138226047
GAC11,2587.101950643608
TKA46,535.7648509496897
YST51,1021.1286396072584
CCH19,2659.6269812982464
FTY40,2954.926313875076
KVN10,4053.495216269176
LWT80,1702.1166417650277
ONO10,5031.354830244296
STR65,3043.8842340540023
VFE97,4167.57330252583
HWE10,816.5673770587834
PRC68,1638.7035705639562
RVX39,838.6873308633716
VMN22,2972.361357350239
XBY11,521.722909292748
ZRF15,2590.077728150412
EOX12,2235.876166500916
JNT60,3165.0191955540686
UIR34,2720.6020156537693
ACC80,4999.643437609142
IVE63,479.97055055492046
JES16,838.6873308633716
QEF34,3700.8222028008913
NZA81,1010.9579117547335
KTS65,3221.131119298158
ORX66,3221.131119298158
DKW49,2539.1390644395906
DVR14,2169.2754129179766
KAY10,3990.280398953386
ENH17,607.4974109194372
XHQ90,838.5763947456842
WVJ47,2781.9912403722897
UAS12,209.667267290104
TPH13,2549.754576480886
OUB13,392.92348284423
QQF11,1482.494089637075
NMJ18,1510.2386506818955
JWP65,606.6935320454788
UYQ40,816.5673770587834
OJV12,2011.270713691795
GWU14,4099.903894560288
RLY93,807.3434390679131
IFX14,1650.250585786567
ANV76,2248.236087192902
AHC49,3211.7469761129764
